ville,iata
BANYULS SUR MER,FRXBU
LAROQUEBROU BATIMENT VOYAGEURS,FRGBG
CREST,FRCRE
DIE,FRDIE
EMBRUN,FRIGV
ASSIER,FRFSD
ELNE,FRIOG
COLLIOURE,FRXCU
TORINO LINGOTTO,ITABV
ST CHRISTOPHE,FRFST
CARMAUX,FRFWA
NAUCELLE,FRFWF
ROCAMADOUR PADIRAC,FRFSA
CAPDENAC,FRCDC
AUBIN,FRFSQ
ETAPLES   LE TOUQUET,FRETA
RINGSHEIM EUROPA PARK,DERSH
GAP,FRGAT
MONTDAUPHIN GUILLESTRE,FRIGZ
VEYNES DEVOLUY,FRVDY
ST MICHEL VALLOIRE,FRXVR
RANG DU FLIERS VERTON BERCK,FRCVU
THONON LES BAINS,FRXTS
LA TESTE,FRFCJ
FIGEAC,FRFIG
BRIANCON,FRXBC
FRANKFURT (MAIN) SUD,DEFRS
L'ARGENTIERE LES ECRINS,FRIHC
PORT VENDRES VILLE,FRXPV
LANNION,FRLAI
ST VINCENT DE TYROSSE,FRGHA
ALBI MADELEINE,FRAMA
ALBI VILLE,FRAFJ
LUC EN DIOIS,FRIFP
